step, m1, m2, b1, b2

1, -1.0000000000000007, -1.0000000000000002, 59.46089475659909, 147.14213562373098
2, -0.9999999999999993, -0.9999999999999998, 63.53196256846452, 145.55634918610403
3, -1.0, -1.0000000000000007, 55.14718625761434, 145.65685424949248
4, -1.0000000000000002, -0.9999999999999996, 58.40202025355335, 177.1959594928933
5, -0.9999999999999997, -0.9999999999999993, 82.92893218813447, 159.2964645562816
6, -1.0000000000000004, -0.9999999999999997, 74.7867965644036, 162.46803743153544
7, -1.0000000000000004, -1.0, 60.40202025355337, 173.53910524340097
8, -1.0000000000000002, -0.9999999999999996, 56.38982694473359, 146.89949493661163
9, -0.9999999999999999, -0.999999999999999, 54.70353544371834, 159.35533905932732
10, -1.0000000000000004, -1.0000000000000002, 75.05887450304577, 151.42640687119288
11, -1.0000000000000002, -0.9999999999999991, 70.30151519016502, 163.6396103067892
12, -1.0000000000000009, -0.9999999999999994, 47.632467631852876, 166.42640687119282
13, -1.0000000000000002, -0.9999999999999998, 59.703535443718366, 150.21320343559643
14, -1.0000000000000002, -1.0000000000000009, 63.6324676318529, 137.17157287525384
15, -1.0000000000000002, -0.9999999999999996, 65.81623381592644, 164.81118318204307
16, -0.9999999999999999, -0.9999999999999993, 60.987806691180246, 171.29646455628165
17, -1.0, -1.0000000000000009, 53.25988462982237, 174.88225099390866
18, -1.0000000000000002, -0.9999999999999996, 61.088311754568586, 162.91168824543138
19, -1.0000000000000002, -1.0000000000000002, 80.27207793864214, 159.46803743153544
20, -1.0000000000000002, -1.0000000000000002, 81.92893218813454, 161.1248916810278
21, -1.0000000000000002, -1.0000000000000013, 68.0883117545686, 150.11269837220817
22, -1.0, -1.0000000000000002, 67.40202025355335, 160.74011537017762
23, -1.0, -1.0, 67.18881681795689, 143.55634918610403
24, -0.9999999999999999, -1.0, 70.40202025355335, 155.25483399593904
25, -1.0000000000000004, -0.9999999999999991, 78.7573593128807, 169.26702730475878
26, -1.0000000000000002, -1.000000000000002, 50.63246763185288, 160.94112549695447
27, -1.0, -1.0000000000000013, 63.946176130837635, 145.9705627484772
28, -1.0000000000000002, -1.0000000000000002, 76.44365081389596, 164.12489168102786
29, -1.0000000000000004, -1.0000000000000007, 75.30151519016503, 154.49747468305839
30, -1.0000000000000007, -1.0000000000000002, 87.65685424949243, 161.1959594928933
31, -1.0000000000000007, -1.0000000000000013, 50.60303038033001, 175.05382386916247
32, -1.0000000000000004, -1.0000000000000007, 85.58578643762695, 159.12489168102795
33, -1.0000000000000002, -1.0000000000000004, 86.58578643762691, 157.29646455628162
34, -1.0000000000000004, -1.0000000000000009, 56.04668119422596, 152.21320343559643
35, -1.0000000000000002, -1.0000000000000002, 80.27207793864214, 159.46803743153544
36, -1.0, -1.0000000000000009, 52.43145750507622, 174.05382386916247
37, -1.0, -1.0, 65.46089475659906, 136.17157287525382
38, -1.0000000000000002, -1.0000000000000007, 57.21825406947977, 147.7279220613579
39, -1.0000000000000002, -1.0000000000000002, 55.97561338236053, 146.48528137423858
40, -0.9999999999999999, -1.0000000000000004, 78.1005050633884, 165.78174593052023
41, -0.9999999999999996, -1.000000000000001, 82.27207793864214, 155.81118318204315
42, -1.0000000000000002, -0.9999999999999992, 59.117749006091486, 152.45584412271572
43, -1.0000000000000002, -1.0000000000000007, 54.56139981998741, 147.89949493661166
44, -1.0000000000000002, -1.0000000000000004, 65.53196256846454, 141.8994949366117
45, -1.0000000000000004, -1.0000000000000007, 60.8040405071067, 140.00000000000003
46, -1.0000000000000002, -1.0000000000000007, 62.218254069479805, 138.58578643762695
47, -0.9999999999999999, -1.0, 69.50252531694167, 148.69848480983495
48, -1.0, -1.0000000000000007, 55.14718625761434, 145.65685424949248
49, -0.9999999999999999, -1.0000000000000004, 74.64466094067264, 151.0121933088198
50, -1.0000000000000002, -1.0000000000000007, 54.94617613083765, 162.42640687119297
51, -1.0, -1.0000000000000004, 79.75735931288071, 167.43860018001263
52, -1.0000000000000002, -1.0000000000000007, 57.70353544371838, 153.87005768508888
53, -1.0, -1.0000000000000002, 64.53196256846455, 143.72792206135787
54, -0.9999999999999997, -1.0000000000000009, 75.10050506338831, 171.26702730475884
55, -0.9999999999999999, -0.9999999999999994, 63.117749006091444, 145.14213562373087
56, -1.0000000000000002, -0.9999999999999994, 74.02943725152284, 167.3675323681471
