step, m1, m2, b1, b2

1, -2.1445069205095613, -2.1445069205095586, 154.48568907237495, 320.11979989304984
2, -2.144506920509559, -2.14450692050956, 147.68121869148018, 332.24494217737515
3, -2.14450692050956, -2.144506920509559, 138.73661693495936, 332.76514675346425
4, -2.1445069205095586, -2.1445069205095595, 163.35347557809246, 328.9875863987674
5, -2.144506920509559, -2.1445069205095573, 148.49118209124873, 342.5197119097534
6, -2.1445069205095586, -2.1445069205095595, 163.35347557809246, 328.9875863987674
7, -2.144506920509558, -2.144506920509559, 139.77265054225413, 329.068777194454
8, -2.144506920509558, -2.14450692050956, 146.6495606290687, 321.7484777823537
9, -2.144506920509558, -2.144506920509558, 154.9290783976608, 320.5631892183356
10, -2.1445069205095595, -2.1445069205095613, 146.50030567234566, 326.33162599193565
11, -2.1445069205095577, -2.144506920509558, 146.05254080217634, 340.08107062068126
12, -2.1445069205095586, -2.144506920509558, 153.22358525755362, 337.7873087434485
13, -2.1445069205095573, -2.144506920509559, 157.21846473000994, 327.58497871698995
14, -2.1445069205095586, -2.1445069205095555, 139.99434520489712, 329.2904718570967
15, -2.144506920509559, -2.1445069205095595, 137.84983828438757, 331.8783681028925
16, -2.1445069205095577, -2.144506920509561, 155.8114815033491, 335.64280182293913
17, -2.144506920509557, -2.1445069205095595, 145.39183235913086, 325.2231526787208
18, -2.1445069205095573, -2.144506920509559, 151.893417281696, 336.4571407675909
19, -2.144506920509558, -2.144506920509559, 153.00189059491072, 337.5656140808057
20, -2.144506920509559, -2.1445069205095613, 147.97972860492638, 323.0786457582115
21, -2.1445069205095595, -2.144506920509557, 139.32926121696835, 328.62538786916787
22, -2.1445069205095577, -2.144506920509563, 156.18243112271506, 331.28134827600024
23, -2.144506920509558, -2.144506920509558, 152.78019593226784, 337.3439194181627
24, -2.1445069205095577, -2.1445069205095577, 160.76557933229697, 331.1320933192768
25, -2.144506920509557, -2.1445069205095586, 114.03856749613944, 360.1235321439994
26, -2.1445069205095577, -2.1445069205095586, 132.66967024791325, 350.36021589794314
27, -2.144506920509558, -2.1445069205095604, 149.15626607917753, 343.1847958976825
28, -2.1445069205095586, -2.14450692050956, 118.4000210430784, 359.75258252463334
29, -2.1445069205095595, -2.144506920509559, 148.64043704797177, 337.93656370017163
30, -2.1445069205095586, -2.1445069205095613, 156.4809410361613, 322.1150518568364
31, -2.1445069205095577, -2.14450692050956, 164.01855956602128, 329.6526703866962
32, -2.1445069205095595, -2.1445069205095586, 142.1388521254067, 326.7025756113016
33, -2.144506920509558, -2.1445069205095586, 131.85970684814478, 340.0854461655648
34, -2.144506920509559, -2.144506920509558, 139.61902004064765, 347.8447593580674
35, -2.1445069205095586, -2.144506920509557, 148.78969200469487, 333.3534154905897
36, -2.144506920509559, -2.144506920509559, 151.1558935878474, 330.9872139074372
37, -2.144506920509558, -2.1445069205095586, 143.021255231095, 341.78218821590485
38, -2.1445069205095577, -2.1445069205095604, 153.37284021427675, 333.2041605338668
39, -2.1445069205095595, -2.1445069205095573, 161.43066332022588, 331.7971773072057
40, -2.1445069205095586, -2.144506920509558, 134.66929775658312, 338.16263390769785
