step, m1, m2, b1, b2


1, -2.1445069205095577, -2.1445069205095573, 135.92702602652088, 334.68795901133063
2, -2.1445069205095586, -2.1445069205095595, 142.28373153724635, 336.3122613557514
3, -2.2460367739042146, -2.2460367739042146, 159.7095532616073, 351.4798334363979
4, -2.2460367739042186, -2.246036773904216, 143.8315107880838, 350.3533509763196
5, -2.3558523658237513, -2.355852365823754, 168.2295060882467, 362.73666064705304
6, -2.3558523658237536, -2.355852365823752, 162.5005398594808, 367.2449130792768
7, -2.475086853416296, -2.4750868534162938, 176.74187695126125, 379.6213813053661
8, -2.4750868534162955, -2.475086853416296, 175.0961684997698, 388.65354150409087
9, -2.6050890646938023, -2.605089064693802, 174.58233707709394, 403.3974420663715
10, -2.6050890646938027, -2.6050890646938027, 171.22554939702175, 411.20236682480066
11, -2.7474774194546234, -2.747477419454621, 193.7916720813849, 416.00080649377946
12, -2.7474774194546248, -2.7474774194546216, 172.5909149204627, 447.42852853579285
13, -2.9042108776758235, -2.9042108776758218, 169.45910352047989, 482.75755916971843
14, -2.904210877675822, -2.904210877675823, 215.08976451788587, 430.0985085908929
15, -3.077683537175253, -3.077683537175252, 222.61190048957448, 475.02520273455787
16, -3.077683537175256, -3.0776835371752496, 219.19582197344388, 465.1369882634275
17, -3.27085261848414, -3.270852618484144, 211.0938407767812, 525.7617738014419
18, -3.270852618484139, -3.2708526184841387, 223.2976146538196, 517.4437259594806
19, -3.4874144438409087, -3.4874144438409074, 213.66385406977435, 569.2034713670176
20, -3.4874144438409087, -3.4874144438409083, 257.7353743273846, 518.9481543825024
21, -3.7320508075688794, -3.732050807568882, 245.6170000642652, 585.6228909180174
22, -3.732050807568879, -3.7320508075688767, 269.01674401525577, 570.3856018174449
23, -3.732050807568878, -3.7320508075688754, 251.71879582840714, 583.9972800718464
24, -4.010780933535844, -4.0107809335358455, 268.5173188334786, 624.0039513552111
25, -4.010780933535845, -4.010780933535847, 286.2794264202627, 608.6975349864853
26, -4.0107809335358455, -4.010780933535844, 246.9083244503217, 651.997742905319
27, -4.331475874284155, -4.331475874284154, 314.9463698902469, 652.7976425667676
28, -4.33147587428415, -4.3314758742841555, 286.56486687020714, 677.7610773377579
29, -4.3314758742841555, -4.331475874284154, 256.7002781834249, 710.1322494071762
30, -4.704630109478458, -4.704630109478455, 302.3325173523322, 754.4475457582806
31, -4.7046301094784555, -4.704630109478455, 346.3307956244122, 702.2511371354778
32, -4.704630109478453, -4.704630109478454, 330.35008953867145, 724.7483058076901
33, -5.144554015970312, -5.144554015970318, 395.4566358923311, 762.3156503840811
34, -5.1445540159703125, -5.144554015970315, 361.02661701320034, 790.775748274964
35, -5.144554015970305, -5.1445540159703125, 335.20755788515123, 817.3651197885933
36, -5.6712818196177075, -5.671281819617718, 387.11898970437755, 882.373251254731
37, -5.671281819617708, -5.671281819617716, 412.86622020625566, 862.0503178914598
38, -5.671281819617714, -5.6712818196177075, 434.3265061953639, 837.4404400154177
39, -6.313751514675043, -6.313751514675039, 413.0873214546203, 1001.1930178325889
40, -6.313751514675046, -6.313751514675051, 430.76934868945165, 980.5203257384234
41, -6.3137515146750465, -6.313751514675036, 475.43781953312464, 935.6944514810997
